"freq","group"
0.99401,"HF_in_Deserts"
0.978235,"HF_in_Deserts"
0.976637,"HF_in_Deserts"
0.976637,"HF_in_Deserts"
0.997804,"HF_in_Deserts"
0.976637,"HF_in_Deserts"
0.979832,"HF_in_Deserts"
0.998802,"HF_in_Deserts"
0.998802,"HF_in_Deserts"
0.979832,"HF_in_Deserts"
0.998802,"HF_in_Deserts"
0.977436,"HF_in_Deserts"
0.990415,"HF_in_Deserts"
0.990216,"HF_in_Deserts"
0.964257,"HF_in_Deserts"
0.964058,"HF_in_Deserts"
0.964058,"HF_in_Deserts"
0.964058,"HF_in_Deserts"
1,"HF_in_Deserts"
0.986222,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
0.986222,"HF_in_Deserts"
0.985423,"HF_in_Deserts"
0.986222,"HF_in_Deserts"
1,"HF_in_Deserts"
0.978634,"HF_in_Deserts"
0.999401,"HF_in_Deserts"
0.991214,"HF_in_Deserts"
0.983227,"HF_in_Deserts"
0.991613,"HF_in_Deserts"
0.977835,"HF_in_Deserts"
0.989417,"HF_in_Deserts"
0.990615,"HF_in_Deserts"
0.932907,"HF_in_Deserts"
0.959665,"HF_in_Deserts"
0.992212,"HF_in_Deserts"
0.992212,"HF_in_Deserts"
0.992212,"HF_in_Deserts"
0.992212,"HF_in_Deserts"
0.998802,"HF_in_Deserts"
0.998802,"HF_in_Deserts"
0.998802,"HF_in_Deserts"
1,"HF_in_Deserts"
0.950479,"HF_in_Deserts"
0.950479,"HF_in_Deserts"
0.950479,"HF_in_Deserts"
0.995607,"HF_in_Deserts"
0.996006,"HF_in_Deserts"
0.995008,"HF_in_Deserts"
0.991813,"HF_in_Deserts"
0.993211,"HF_in_Deserts"
0.993211,"HF_in_Deserts"
0.994609,"HF_in_Deserts"
0.994609,"HF_in_Deserts"
0.994609,"HF_in_Deserts"
0.991813,"HF_in_Deserts"
0.994808,"HF_in_Deserts"
0.994808,"HF_in_Deserts"
0.994808,"HF_in_Deserts"
0.994808,"HF_in_Deserts"
0.994808,"HF_in_Deserts"
0.994808,"HF_in_Deserts"
0.994808,"HF_in_Deserts"
0.994808,"HF_in_Deserts"
0.994609,"HF_in_Deserts"
0.998003,"HF_in_Deserts"
0.998003,"HF_in_Deserts"
0.998403,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
0.999601,"HF_in_Deserts"
0.972244,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
0.999201,"HF_in_Deserts"
1,"HF_in_Deserts"
1,"HF_in_Deserts"
